title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,23,18,79
Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,5,4,79
Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,7,17,78
Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,1,5,78
Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,4,4,78
Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,3,3,78
Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,5,4,77
Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,40,6,77
Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,3,15,75
Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,9,4,73
Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,18,9,73
Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,1,4,73
Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,3,17,72
Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,12,3,72
Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,14,4,71
Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,32,4,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,1,13,71
Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,10,7,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31,76,178,4,23,68
Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10,64,244,46,4,68
human,Christina Perri,dance pop,2014,144,49,44,-6,11,25,251,14,4,68
Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,47,3,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16,72,193,9,25,67
Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8,74,225,18,6,66
This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,15,80,204,3,5,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,27,98,232,1,4,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,9,52,241,2,18,65
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,48,3,84
I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,54,4,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,8,5,84
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,85,44,83
Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,2,8,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,64,5,81
Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,7,3,81
Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,9,5,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,89,5,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,26,5,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,40,3,79
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8,79,206,60,10,79
Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,3,7,78
Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11,66,208,2,6,77
